Movie ID,Year,Average Rating
1034541,2024,7.28
912649,2024,6.7
1184918,2024,8.539
933260,2024,7.331
698687,2024,8.138
889737,2024,5.672
945961,2024,7.265
1022789,2024,7.6
335983,2018,6.8
533535,2024,7.706
1084736,2024,8.3
580489,2021,6.8
354912,2017,8.2
1051896,2024,6.0
1029235,2024,6.103
519182,2024,7.1
1196470,2024,4.8
420634,2018,6.4
976734,2024,6.4
179387,2009,6.3
1063877,2024,6.5
917496,2024,7.155
663712,2022,6.8
1079091,2024,7.2
3933,2005,7.579
991610,2024,4.9
1125510,2024,5.652
86328,2011,6.27
978796,2024,6.6
1371727,2024,7.336
1159311,2024,6.8
616446,2024,6.252
721173,2019,5.7
231001,2013,5.7
957452,2024,5.8
823219,2024,8.7
573435,2024,7.494
1047373,2024,6.4
1144962,2023,5.448
1100782,2024,6.877
1025596,2024,5.8
1354627,2024,7.143
824003,2023,6.313
726139,2024,7.024
1149912,2023,6.0
1010581,2023,7.9
1087822,2024,5.5
1079485,2024,6.184
929563,2024,8.3
1029281,2024,7.0
1320786,,0.0
1249532,2024,4.7
592695,2021,6.2
1145491,2023,5.7
9479,1993,7.8
814889,2024,6.144
1329336,2024,7.3
1091181,2024,5.8
639720,2024,7.3
1011985,2024,7.089
1032823,2024,6.472
1359227,2024,6.5
1022796,2023,6.359
748783,2024,7.117
845781,2024,7.8
826510,2024,7.1
72808,1991,5.4
1114513,2024,7.326
653346,2024,7.111
603692,2023,7.734
1059264,2023,6.5
1075676,2024,7.241
1226578,2024,6.7
783110,2023,6.6
762441,2024,6.8
1047020,2024,7.081
365177,2024,5.869
1118031,2024,6.6
916192,2022,7.7
940551,2023,7.4
55685,1978,5.8
507241,2024,6.4
1140648,2024,5.7
1255017,2024,6.857
1215162,2024,6.8
482600,2017,6.1
931944,2024,6.85
1364082,2024,5.4
718821,2024,7.0
1147710,2024,6.1
1064028,2024,6.7
198663,2014,7.187
1024127,2023,6.5
827931,2024,5.7
588648,2024,7.346
173705,1982,6.8
823464,2024,7.158
14836,2009,7.9
877817,2024,6.584
1308546,2024,5.2
1129598,2024,6.352
1241982,2024,0.0
558449,2024,0.0
1287717,2024,7.5
929590,2024,6.917
1357459,2024,6.7
475557,2019,8.149
975022,2023,5.9
1337309,2024,6.646
1160018,2024,7.15
1030076,2024,6.9
832964,2024,6.939
1137205,2024,6.9
7451,2002,5.934
1244880,2024,7.0
4247,2000,6.359
901060,2024,5.1
1139095,2024,6.4
1122504,2023,6.1
786892,2024,7.543
228326,2014,7.543
1210794,2024,6.91
1012201,2024,7.2
120,2001,8.416
1207898,2024,6.9
4011,1988,7.382
974262,2024,6.96
1264429,2024,6.4
1029575,2023,7.266
1148172,2024,6.9
831815,2024,6.769
1362101,2024,6.9
567811,2024,8.139
634649,2021,7.957
1141182,2024,6.0
1207830,2024,7.0
1216191,2024,6.9
1371440,,0.0
385687,2023,7.084
102382,2014,6.513
1066262,2024,6.2
1359867,2024,6.7
1023922,2024,6.4
1094974,2024,6.7
1147400,2023,7.193
360778,1994,3.3
1358947,2024,5.6
671,2001,7.9
1064213,2024,7.494
646097,2024,7.019
1331375,2024,7.6
587727,2019,7.1
1358752,2024,2.0
1186532,2024,8.14
10439,1993,7.04
949484,2024,6.4
10198,2009,7.215
323260,2015,5.0
299536,2018,8.243
569094,2023,8.357
667538,2023,7.3
1219685,2024,6.4
1100099,2024,8.1
693134,2024,8.2
278,1994,8.7
939243,2024,0.0
346698,2023,7.0
923667,2024,6.52
390159,2009,4.2
835113,2024,6.572
863873,2024,7.3
1054561,2024,6.3
10191,2010,7.829
10195,2011,6.769
1134424,2023,6.4
840705,2024,6.8
1001311,2024,6.011
829557,2022,5.866
238,1972,8.7
102651,2014,7.095
10192,2010,6.379
882598,2022,6.657
983044,2023,6.72
1042657,2024,5.5
1362961,2024,8.091
1225377,2024,4.4
1029955,2024,6.6
748230,2024,6.291
1218193,2024,7.1
150540,2015,7.912
1186947,2024,6.0
1010161,2024,5.1
502356,2023,7.649
1174618,2023,6.015
157336,2014,8.442
138843,2013,7.541
315162,2022,8.222
1331344,2024,8.4
10193,2010,7.801
609681,2023,6.1
1104844,2024,7.184
4232,1996,7.423
1139817,2024,7.767
411,2005,7.134
1209290,2024,7.442
1026999,2024,6.159
259872,2010,6.3
1147416,2024,7.1
799583,2024,7.125
843527,2024,7.437
122,2003,8.5
1048241,2024,6.64
1156212,2024,5.825
1089123,2024,5.743
474350,2019,6.846
1088563,2023,6.6
1262299,2024,10.0
672,2002,7.7
937278,2022,7.76
1262983,2024,7.056
787699,2023,7.119
122917,2014,7.323
697251,2019,4.5
1128941,2024,5.6
438631,2021,7.784
673,2004,8.018
414906,2022,7.7
76600,2022,7.6
1369595,2024,8.7
675353,2022,7.505
4248,2001,5.798
934433,2023,7.034
5492,2024,5.247
98,2000,8.216
216015,2015,5.9
938614,2024,7.263
1008042,2023,7.15
1140168,2023,5.2
1308821,2024,5.0
1255616,2024,3.0
1190868,2024,6.909
1255208,2024,5.722
1317218,2024,5.065
58,2006,7.364
808,2001,7.743
1231818,2023,7.0
436969,2021,7.51
646385,2022,6.67
299534,2019,8.249
22,2003,7.806
360776,1993,7.5
46848,1979,5.2
402431,2024,0.0
1044741,2024,6.9
1236419,2024,7.9
507086,2022,6.694
1026436,2024,6.6
10225,1986,6.2
976573,2023,7.6
704239,2024,6.259
872585,2023,8.086
155,2008,8.5
359410,2024,6.981
1156593,2024,0.0
36239,2006,4.2
13194,2007,7.192
118,2005,7.051
807339,2024,6.161
103,1976,8.141
1062215,2024,6.2
682075,2022,7.0
1373893,2024,6.0
674,2005,7.812
280180,2024,6.8
597,1997,7.906
177572,2014,7.733
1371350,2024,5.8
102899,2015,7.076
959092,2023,6.653
940721,2023,7.58
601796,2022,6.8
1184773,2023,5.0
585,2001,7.845
1029330,2024,6.7
24428,2012,7.719
943344,2023,5.429
568124,2021,7.6
8587,1994,8.3
346364,2017,7.242
1096197,2024,6.384
1028703,2022,5.4
1026227,2023,8.2
1041613,2024,6.276
1311550,2024,5.881
293660,2016,7.623
646683,2024,5.1
49051,2012,7.356
273477,2015,6.532
11688,2000,7.6
719221,2024,6.614
1291559,2024,8.5
8966,2008,6.3
10229,2002,7.8
259693,2016,7.294
630240,2021,6.4
121,2002,8.4
1017163,2024,6.7
496243,2019,8.5
12445,2011,8.094
1239251,2024,4.8
1190586,2023,5.0
718014,2024,6.048
762509,2024,0.0
1329912,2024,6.0
420818,2019,7.116
1364324,2024,4.3
968051,2023,6.761
614933,2024,6.814
12153,2004,6.953
1020896,2024,6.182
566525,2021,7.547
447365,2023,7.968
575264,2023,7.548
1018,2001,7.81
1241742,2024,2.0
767,2009,7.692
829560,2022,6.4
1019420,2024,6.2
1072790,2023,6.962
508883,2023,7.5
746036,2024,7.164
1111873,2024,6.819
1152624,2023,5.2
348,1979,8.2
361743,2022,8.202
585083,2022,7.075
1008953,2024,6.2
619264,2019,6.98
966576,2023,5.1
1049574,2024,6.7
948,1978,7.564
1865,2011,6.555
453395,2022,7.285
1094138,2024,6.447
1024721,2023,5.949
866398,2024,7.353
969492,2024,7.281
1027073,2023,6.56
438695,2021,7.865
50620,2012,6.5
615656,2023,6.486
423108,2021,7.431
1151949,2024,7.4
13,1994,8.471
18785,2009,7.323
184345,2014,6.157
72190,2013,6.818
1073125,2023,7.3
1096342,2024,5.4
634492,2024,5.459
437342,2024,6.9
1167366,2024,6.3
1130053,2024,6.2
14258,2003,6.1
2062,2007,7.8
675,2007,7.679
109445,2013,7.246
616037,2022,6.4
12444,2010,7.751
387824,2015,6.3
299054,2023,6.2
507089,2023,7.5
539972,2024,0.0
285,2007,7.3
862,1995,8.0
1052280,2024,6.39
106646,2013,8.034
8681,2008,7.394
1012148,2024,5.9
970347,2024,6.542
1014661,2024,5.7
926393,2023,7.328
370663,2017,6.822
1196263,2023,3.0
447277,2023,6.3
773621,2021,7.3
1017633,2024,6.4
335984,2017,7.6
1010600,2024,5.9
12155,2010,6.6
1298238,2024,6.2
959429,2024,6.041
1200674,2024,7.5
19995,2009,7.6
129,2001,8.5
269149,2016,7.8
27205,2010,8.4
505642,2022,7.1
91314,2014,5.94
1091267,2024,5.758
959098,2024,6.557
257088,2015,5.9
10144,1989,7.354
559,2007,6.4
1025463,2024,6.014
1214509,2024,5.8
1930,2012,6.707
680,1994,8.5
10184,2009,6.6
729165,2023,6.4
260346,2014,6.259
324786,2016,8.198
869291,2024,5.7
1059064,2024,6.22
76341,2015,7.615
296349,2008,5.0
1014214,2024,5.8
12,2003,7.819
809,2004,7.281
9806,2004,7.71
1182047,2024,6.993
572802,2023,6.7
4258,2013,4.8
660982,2020,6.138
315635,2017,7.336
1115729,2024,6.824
298618,2023,6.699
1248753,2024,6.942
228150,2014,7.539
1124,2006,8.203
804616,2024,5.988
109418,2013,6.142
156022,2014,7.279
967847,2024,6.6
10166,1990,6.9
10196,2010,4.651
10283,1989,5.0
296096,2016,7.931
955555,2023,7.2
447332,2018,7.404
588228,2021,7.529
396535,2016,7.754
10331,1968,7.611
38757,2010,7.606
1254234,2024,0.0
1284004,2024,5.5
473924,2017,8.5
1241748,2024,6.5
1208808,2024,0.0
557,2002,7.301
324857,2018,8.4
23398,2009,5.6
851644,2022,8.1
337167,2018,6.702
856289,2023,7.1
11036,2004,7.89
1049948,2023,6.1
550,1999,8.439
99861,2015,7.273
1291594,2024,6.5
1051891,2024,7.038
1005076,2024,6.3
20352,2010,7.245
980489,2023,7.815
950526,2023,7.403
978035,2023,6.2
766507,2022,7.7
10020,1991,7.736
984324,2024,6.235
50619,2011,6.201
1108427,2026,0.0
748167,2024,5.962
603,1999,8.218
24021,2010,6.2
4233,1997,6.493
930600,2024,6.2
425,2002,7.363
41446,2011,6.5
424,1993,8.565
990140,2023,6.4
10315,2009,7.806
707610,2020,5.9
10216,1998,5.151
214756,2015,6.3
791373,2021,8.143
508947,2022,7.37
1145291,2023,5.8
1282138,2024,6.7
438148,2022,7.326
642885,2022,7.236
1076708,2024,8.6
779816,2023,7.9
763215,2024,7.066
439079,2018,5.894
1360170,2024,0.0
330980,2014,5.3
118249,2011,6.9
14160,2009,7.958
772,1992,6.745
1075794,2023,7.474
